Title, Number_of_characters, Gender, birthDate, birthYear, deathDate, deathYear, ethnicity, nationality, country, region, religion, activeYearsStartYear, genre, notableWork, almaMater 
Brenda Chapman, 0, NA, 1962-11-01, 1962, NA, NA, NA, NA, NA, NA, NA, 1980, NA, NA, California Institute of the Arts
Brendan McCarthy, 0, NA, NA, NA, NA, NA, NA, British people, NA, NA, NA, NA, NA, NA, NA
Brent Anderson, 0, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Bret Blevins, 0, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Bret Easton Ellis, 0, NA, 1964-03-07, NA, NA, NA, NA, NA, NA, NA, NA, NA, Satire and Black comedy, NA, NA
Brett Booth, 0, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Brett Breeding, 0, NA, 1961-06-13, 1961, NA, NA, NA, Citizenship in the United States, NA, NA, NA, NA, NA, NA, NA
Brian Augustyn, 0, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Brian Azzarello, 0, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Brian Bolland, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Brian Clemens, 0, NA, 1931-07-30, 1931, 2015-01-10, 2015, NA, NA, NA, NA, NA, NA, NA, NA, NA
Brian Cooke, 0, NA, NA, NA, NA, NA, NA, United Kingdom and British people, NA, NA, NA, 1968, Television, Man About the House and George and Mildred and Robins Nest and Father Dear Father and Alcock and Gander and Trippers Day and Full House (UK TV series) and Tom Dick and Harriet and Close to Home (1989 TV series) and Let There Be Love (TV series) and Slingers Day, NA
Brian Ferrara, 0, NA, 1978-09-23, 1978, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Brian Haberlin, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Brian Haig, 0, NA, 1953-03-15, 1953, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Brian Herbert, 0, NA, 1947-06-29, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Dune (franchise), NA
Brian K. Vaughan, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Brian Lumley, 0, NA, 1937-12-02, NA, NA, NA, NA, NA, NA, NA, NA, 1971, Horror fiction and Science fiction, NA, NA
Brian Michael Bendis, 0, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Brian Posehn, 0, NA, 1966-07-06, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Brian Pulido, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Brian Reed, 0, NA, 1973-07-01, 1973, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Bruce Bairnsfather, 0, NA, NA, 1887, NA, 1959, NA, NA, NA, NA, NA, NA, NA, NA, NA
Bruce Harlick, 0, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Bruce Jones (comics), 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Bruce Timm, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Bruno Bozzetto, 0, NA, 1938-03-03, 1938, NA, NA, NA, Italy, NA, NA, NA, 1958, NA, NA, NA
Bruno Heller, 0, NA, NA, 1960, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Bruno Premiani, 0, NA, NA, NA, NA, NA, NA, Italians, NA, NA, NA, NA, NA, NA, NA
Bryan Elsley, 0, NA, NA, NA, NA, NA, NA, NA, United Kingdom and Scotland, NA, NA, NA, NA, NA, NA
Bryan Fuller, 0, NA, 1969-07-27, NA, NA, NA, NA, NA, NA, NA, NA, 1997, Science fiction and Macabre and Comedy and Fantasy and Drama, Dead Like Me and Wonderfalls and Pushing Daisies and Hannibal (TV series), NA
Bryan Hitch, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Bryan Konietzko, 0, NA, 1975-06-01, 1975, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Bryan Lee O'Malley, 0, NA, NA, NA, NA, NA, NA, Canadians, NA, NA, NA, NA, NA, NA, NA
Bryan Talbot, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Bud Yorkin, 0, NA, 1926-02-22, 1926, 2015-08-18, 2015, NA, NA, NA, NA, NA, 1952, NA, NA, NA
Budd Root, 0, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Buddhadeb Guha, 0, NA, 1936-06-29, 1936, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Buronson, 0, NA, 1947-06-16, 1947, NA, NA, NA, Japanese people, NA, NA, NA, 1972, NA, NA, NA
Buzz Dixon, 0, NA, 1953-12-07, 1953, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Byron Howard, 0, NA, NA, 1968, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Byron Kennedy, 0, NA, 1949-08-18, 1949, 1983-07-17, 1983, NA, Australia, NA, NA, NA, NA, NA, NA, NA
Charles M. Schulz, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Charles Nicholas, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Charles Paris, 0, NA, 1911-09-25, 1911, 1994-03-19, 1994, NA, NA, NA, NA, NA, NA, NA, NA, NA
Charles Perrault, 0, NA, 1628-01-12, NA, 1703-05-16, NA, NA, NA, NA, NA, NA, NA, Fairy tale, Puss in Boots and Sleeping Beauty and Little Red Riding Hood and Cinderella, NA
Charles Portis, 0, NA, 1933-12-28, NA, NA, NA, NA, NA, NA, NA, NA, 1966, Western (genre), True Grit (novel) and Norwood (novel), NA
Charles Soule, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 2009, NA, She-Hulk and Superman/Wonder Woman and Daredevil (Marvel Comics) and Letter_44 and Death of Wolverine, University of Pennsylvania and Columbia Law School
Charles Thorson, 0, NA, 1890-08-29, 1890, 1966-08-07, 1966, NA, NA, NA, NA, NA, NA, NA, NA, NA
Charles Vess, 0, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Charlie Adlard, 0, NA, NA, NA, NA, NA, NA, British people, NA, NA, NA, NA, NA, NA, NA
Charlie Chaplin, 0, NA, 1889-04-16, 1889, 1977-12-25, 1977, NA, NA, NA, NA, NA, 1899, NA, NA, NA
Charlie Day, 0, NA, 1976-02-09, 1976, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Merrimack College
Charlie Huston, 0, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, 2004, Horror fiction and Crime fiction and Pulp magazine, Joe Pitt Casebooks, NA
Charlotte Brontë, 0, NA, 1816-04-21, NA, 1855-03-31, NA, NA, NA, NA, NA, NA, NA, NA, Jane Eyre and Villette (novel), NA
Chespirito, 0, NA, 1929-02-21, NA, 2014-11-28, NA, NA, NA, NA, NA, NA, NA, Satire and Sitcom and Physical comedy and Sketch, NA, NA
Chester Gould, 0, NA, 1900-11-20, 1900, 1985-05-11, 1985, NA, NA, NA, NA, NA, NA, NA, NA, NA
Chic Stone, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Chingiz Abdullayev, 0, NA, 1959-04-07, NA, NA, NA, NA, NA, NA, NA, NA, 1988, NA, NA, NA
Chiung Yao, 0, NA, 1938-04-20, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
ChrisCross, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Chris Avellone, 0, NA, 1972-09-27, 1972, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Chris Bachalo, 0, NA, NA, NA, NA, NA, NA, Canada, NA, NA, NA, NA, NA, NA, NA
Chris Batista, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Chris Buck, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 1978, NA, NA, NA
Chris Burnham, 0, NA, NA, 1977, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Chris Carter (screenwriter), 0, NA, 1957-10-13, 1957, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, California State University Long Beach
Chris Claremont, 0, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Chris Giarrusso, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Chris Hayward, 0, NA, 1925-06-19, 1925, 2006-11-20, 2006, NA, NA, NA, NA, NA, NA, NA, NA, NA
Chris Lilley (comedian), 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Chris Roberson (author), 0, NA, 1970-08-25, 1970, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Chris Rock, 0, NA, 1965-02-07, NA, NA, NA, NA, NA, NA, NA, NA, NA, Comedy music and Political satire and Black comedy and Observational comedy, NA, NA
Chris Sanders (director), 0, NA, 1962-03-12, 1962, NA, NA, NA, NA, NA, NA, NA, 1984, NA, NA, NA
Chris Sprouse, 0, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Chris Warner (comics), 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Chris Weston, 0, NA, NA, NA, NA, NA, NA, British people, NA, NA, NA, NA, NA, NA, NA
Chris Williams (director), 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, University of Waterloo and Sheridan College
Christopher Awdry, 0, NA, 1940-07-02, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Christopher Golden, 0, NA, 1967-07-15, NA, NA, NA, NA, NA, NA, NA, NA, NA, Horror fiction and Thriller (genre) and Fantasy, NA, NA
Christopher Isherwood, 0, NA, 1904-08-26, NA, 1986-01-04, NA, NA, British nationality law, NA, NA, NA, NA, NA, NA, Corpus Christi College Cambridge
Christopher McQuarrie, 0, NA, 1968-06-12, 1968, NA, NA, NA, NA, NA, NA, Christianity, 1993, NA, NA, NA
Christopher Nolan, 0, NA, 1970-07-30, 1970, NA, NA, NA, NA, NA, NA, NA, 1989, NA, NA, University College London
Christopher Priest (comics), 0, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Christopher Yost, 0, NA, 1973-02-21, 1973, NA, NA, NA, NA, NA, NA, NA, 2002, NA, NA, NA
Christos Gage, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Christy Marx, 0, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Chuck Austen, 0, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Chuck Dixon, 0, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Chuck Jones, 0, NA, 1912-09-21, 1912, 2002-02-22, 2002, NA, NA, NA, NA, NA, 1933, NA, NA, NA
Chuck Lorre, 0, NA, 1952-10-18, 1952, NA, NA, NA, NA, NA, NA, NA, 1984, NA, NA, NA
Chuck Patton, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Clark Ashton Smith, 0, NA, 1893-01-13, NA, 1961-08-14, NA, NA, NA, NA, NA, NA, NA, Horror fiction and Science fiction and Fantasy, NA, NA
Clay Mann, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Clayton Crain, 0, NA, NA, 1975, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Clayton Henry, 0, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Cliff Chiang, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Cliff Rathburn, 0, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Cliff Robinson (artist), 0, NA, NA, NA, NA, NA, NA, United Kingdom, NA, NA, NA, NA, NA, NA, NA
Clive Barker, 0, NA, 1952-10-05, NA, NA, NA, NA, United Kingdom, NA, NA, NA, NA, Horror fiction and Fantasy, NA, NA
Clive Cussler, 0, NA, 1931-07-15, NA, NA, NA, NA, NA, NA, NA, NA, 1973, Adventure fiction, NA, NA
C. C. Beck, 0, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Coen brothers, 0, NA, 1957-09-21, 1957, NA, NA, NA, NA, NA, NA, Judaism, 1984, NA, NA, NA
Colin Dexter, 0, NA, 1930-09-29, NA, NA, NA, NA, NA, NA, NA, NA, NA, Crime fiction, NA, Christ's College Cambridge
Colin MacNeil, 0, NA, NA, NA, NA, NA, NA, British people, NA, NA, NA, NA, NA, NA, NA
Colin Wilson (comics), 0, NA, NA, NA, NA, NA, NA, New Zealand, NA, NA, NA, NA, NA, NA, NA
Cormac McCarthy, 0, NA, 1933-07-20, NA, NA, NA, NA, United States, NA, NA, NA, NA, Apocalyptic and post-apocalyptic fiction and Western fiction and Southern Gothic, All the Pretty Horses (novel) and Blood Meridian and Suttree and No Country for Old Men and The Road and The Sunset Limited, NA
Cornelia Funke, 0, NA, 1958-12-10, NA, NA, NA, NA, NA, NA, NA, NA, NA, Fantasy and Adventure, Inkheart trilogy, NA
Cory Walker, 0, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Cosmic Boy, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Craig Johnson (author), 0, NA, 1961-01-16, 1961, NA, NA, NA, United States, NA, NA, NA, NA, Detective fiction and Western (genre) and Crime fiction, NA, NA
Craig Kyle, 0, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Craig Rousseau, 0, NA, 1971-04-26, 1971, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Craig Thomas (screenwriter), 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Creig Flessel, 0, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Cullen Bunn, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Cully Hamner, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Curt Swan, 0, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Cynthia Martin, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
C. S. Forester, 0, NA, 1899-08-27, NA, 1966-04-02, NA, NA, NA, NA, NA, NA, NA, Nautical fiction, NA, NA
Cal Dalton, 0, NA, NA, 1908, NA, 1974, NA, NA, NA, NA, NA, NA, NA, NA, NA
Cam Kennedy, 0, NA, NA, NA, NA, NA, NA, Scottish people, NA, NA, NA, NA, NA, NA, NA
Cameron Stewart, 0, NA, NA, NA, NA, NA, NA, Canadians, NA, NA, NA, NA, NA, NA, NA
Candace Bushnell, 0, NA, 1958-12-01, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Captain America, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Carl Barks, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Carl Burgos, 0, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Carl Critchlow, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Carl Potts, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Carlo Collodi, 0, NA, 1826-11-24, NA, 1890-10-26, NA, NA, NA, NA, NA, NA, NA, Children's literature, NA, NA
Carlo J. Caparas, 0, NA, 1958-12-15, 1958, NA, NA, NA, Filipinos, NA, NA, NA, NA, NA, NA, NA
Carlo Vergara, 0, NA, 1971-01-25, 1971, NA, NA, NA, Filipinos, NA, NA, NA, NA, NA, NA, NA
Carlos Ezquerra, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Carlos Pacheco, 0, NA, NA, NA, NA, NA, NA, Spaniards, NA, NA, NA, NA, NA, NA, NA
Carlton Cuse, 0, NA, 1959-03-22, 1959, NA, NA, NA, United States, NA, NA, NA, 1984, NA, NA, NA
Carmine Infantino, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Caroline B. Cooney, 0, NA, 1947-05-10, NA, NA, NA, NA, NA, NA, NA, NA, NA, Historical fiction and Young-adult fiction and Fantasy, NA, NA
Carter Bays, 0, NA, 1975-08-12, 1975, NA, NA, NA, NA, NA, NA, NA, 1998, NA, NA, NA
Cary Bates, 0, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Cary Burkett, 0, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Cecily von Ziegesar, 0, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, 2002, Romance novel and Short film, Gossip Girl (novel series) and The It Girl (novel series), NA
Charlaine Harris, 0, NA, 1951-11-25, NA, NA, NA, NA, NA, NA, NA, NA, NA, Mystery fiction, The Southern Vampire Mysteries, NA
Charles Addams, 0, NA, 1912-01-07, NA, 1988-09-29, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Charles Band, 0, NA, 1951-12-27, 1951, NA, NA, NA, NA, NA, NA, NA, 1973, NA, NA, NA
Charles Biro, 0, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Charles Dickens, 0, NA, 1812-02-07, NA, 1870-06-09, NA, NA, NA, NA, NA, NA, NA, NA, David Copperfield and A Christmas Carol and Little Dorrit and Great Expectations and Oliver Twist and The Pickwick Papers and Bleak House and Hard Times and A Tale of Two Cities, NA
Charles H. Eglee, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Dark Angel (TV series) and Murder One (TV series) and The Walking Dead (TV series), NA
Charles Hamilton (writer), 0, NA, 1876-08-08, NA, 1961-12-24, NA, NA, NA, NA, NA, NA, NA, NA, Billy Bunter, NA
Danilo Bach, 0, NA, 1944-03-01, 1944, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Dann Thomas, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Danny Fingeroth, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Danny Kallis, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Danny McBride, 0, NA, 1976-12-29, 1976, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Danny Zialcita, 0, NA, 1939-11-24, 1939, 2013-03-10, 2013, NA, NA, NA, NA, NA, NA, NA, NA, NA
Dante Quinterno, 0, NA, 1909-10-26, 1909, 2003-05-14, 2003, NA, Argentina, NA, NA, NA, NA, NA, NA, NA
Darick Robertson, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Darko Macan, 0, NA, NA, NA, NA, NA, NA, Croatia, NA, NA, NA, NA, NA, NA, NA
Darren G. Davis, 0, NA, 1968-07-08, 1968, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Darren Lynn Bousman, 0, NA, 1979-01-11, 1979, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Darren Star, 0, NA, 1961-07-25, 1961, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, University of California Los Angeles
Darryl Banks, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Darwyn Cooke, 0, NA, NA, NA, NA, NA, NA, Canadians, NA, NA, NA, NA, NA, NA, NA
Dashiell Hammett, 0, NA, 1894-05-27, NA, 1961-01-10, NA, NA, NA, NA, NA, NA, 1929, Detective fiction, NA, NA
Dave Cockrum, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Dave Filoni, 0, NA, 1974-06-07, 1974, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Dave Gibbons, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Dave Goelz, 0, NA, 1946-07-16, 1946, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Dave Hoover, 0, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Dave McKean, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Dave Mustaine, 0, NA, 1961-09-13, NA, NA, NA, NA, NA, NA, NA, NA, 1978, Heavy metal music and Thrash metal, NA, NA
Dave Sim, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Dave Stevens, 0, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Dave Stewart (artist), 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Dave Stone, 0, NA, 1964-06-12, NA, NA, NA, NA, United Kingdom, NA, NA, NA, 1991, Science fiction, NA, NA
Dave Thomas (actor), 0, NA, 1949-05-20, 1949, NA, NA, NA, NA, NA, NA, NA, 1974, NA, NA, NA
Dave Thorpe, 0, NA, NA, NA, NA, NA, NA, England, NA, NA, NA, 1981, Science fiction and Superhero, Captain Britain, NA
Dave Willis, 0, NA, 1970-05-01, 1970, NA, NA, NA, United States, NA, NA, NA, 1995, NA, NA, Wake Forest University
David A. Williams, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
David Aja, 0, NA, 1977-04-16, 1977, NA, NA, NA, Spain, NA, NA, NA, NA, NA, NA, NA
David Anthony Kraft, 0, NA, NA, 1952, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
David Ayer, 0, NA, 1968-01-18, 1968, NA, NA, NA, NA, NA, NA, NA, 2000, NA, NA, NA
David Baron (comics), 0, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
David Bowie, 0, NA, 1947-01-08, 1947, 2016-01-10, 2016, NA, NA, NA, NA, NA, 1962, NA, NA, NA
David Callaham, 0, NA, 1977-10-24, 1977, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, University of Michigan
David Chase, 0, NA, 1945-08-22, 1945, NA, NA, NA, NA, NA, NA, NA, 1974, NA, NA, NA
David Crane (producer), 0, NA, 1957-08-13, 1957, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Brandeis University
David Croft (TV producer), 0, NA, 1922-09-07, 1922, 2011-09-27, 2011, NA, NA, NA, NA, NA, 1939, NA, NA, NA
David Davis (TV producer), 0, NA, NA, 1937, NA, NA, NA, NA, NA, NA, NA, 1962, NA, NA, NA
David E. Kelley, 0, NA, 1956-04-04, 1956, NA, NA, NA, NA, NA, NA, NA, 1986, NA, NA, NA
David Finch (comics), 0, NA, NA, NA, NA, NA, NA, Canadians, NA, NA, NA, NA, NA, NA, NA
David Hine, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
David Hoberman, 0, NA, 1952-09-19, 1952, NA, NA, NA, NA, NA, NA, NA, 1977, NA, NA, NA
David Horvath, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
David Kohan, 0, NA, 1964-04-16, 1964, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Wesleyan University
David Lapham, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
David Lloyd (comics), 0, NA, NA, NA, NA, NA, NA, British people, NA, NA, NA, NA, NA, NA, NA
David Lynch, 0, NA, 1946-01-20, 1946, NA, NA, NA, NA, NA, NA, NA, 1966, NA, NA, AFI Conservatory
David López (artist), 0, NA, NA, 1975, NA, NA, NA, Spain, NA, NA, NA, NA, NA, NA, NA
David Mamet, 0, NA, 1947-11-30, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Glengarry Glen Ross and Hannibal (film) and Sexual Perversity in Chicago and American Buffalo (play) and Homicide (1991 film) and Oleanna (play) and House of Games and The Untouchables (film) and The Unit and The Postman Always Rings Twice (1981 film) and The Duck Variations, Goddard College
David Mazzucchelli, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
David Michelinie, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
David Morrell, 0, NA, 1943-04-24, 1943, NA, NA, NA, NA, NA, NA, NA, NA, NA, First Blood (novel), St. Jeromes University and Pennsylvania State University
David Nakayama, 0, NA, 1978-08-15, 1978, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
David Quinn (writer), 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
David S. Goyer, 0, NA, 1965-12-22, NA, NA, NA, NA, NA, NA, NA, NA, NA, Screenwriter, NA, NA
David Shore, 0, NA, 1959-07-03, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, House (TV series), NA
David Shrigley, 0, NA, 1968-09-17, NA, NA, NA, NA, British people, NA, NA, NA, NA, NA, NA, NA
David Simon, 0, NA, 1960-02-09, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
David Slack, 0, NA, NA, 1972, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
David Vern Reed, 0, NA, NA, 1924, NA, 1989, NA, NA, NA, NA, NA, NA, NA, NA, NA
David W. Mack, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
David Walliams, 0, NA, 1971-08-20, 1971, NA, NA, NA, NA, NA, NA, NA, 1992, NA, NA, NA
David Weber, 0, NA, 1952-10-24, 1952, NA, NA, NA, NA, NA, NA, NA, NA, Alternate history and Science fiction and Fantasy, Honor Harrington and Safehold, NA
David Wohl, 0, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
David Zucker (filmmaker), 0, NA, 1947-10-16, 1947, NA, NA, NA, NA, NA, NA, NA, 1976, NA, NA, NA
Dawn French, 0, NA, 1957-10-11, 1957, NA, NA, NA, NA, NA, NA, NA, 1981, NA, NA, Central School of Speech and Drama
Dean DeBlois, 0, NA, 1970-06-07, 1970, NA, NA, NA, NA, NA, NA, NA, 1988, NA, NA, NA
Dean Devlin, 0, NA, 1962-08-27, 1962, NA, NA, NA, NA, NA, NA, NA, 1980, NA, NA, NA
Dean Koontz, 0, NA, 1945-07-09, NA, NA, NA, NA, NA, NA, NA, NA, NA, Horror fiction and Thriller (genre) and Fantasy literature and Suspense, Odd Thomas (novel) and Phantoms (novel) and Hideaway (novel) and The Face of Fear and Watchers (novel) and Lightning (novel) and Intensity (novel) and Demon Seed (novel), Shippensburg University of Pennsylvania
Debra Hill, 0, NA, 1950-11-10, 1950, 2005-03-07, 2005, NA, NA, NA, NA, NA, 1972, NA, NA, NA
Denis Gifford, 0, NA, 1927-12-26, NA, 2000-05-18, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Denis Leary, 0, NA, 1957-08-18, NA, NA, NA, NA, NA, NA, NA, NA, NA, Musical theatre and Satire and Black comedy and Observational comedy and Insult comedy, NA, NA
